phylum	class	order	family	genus	species	subsp	subsub	key	strain
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			KF687308	Human parainfluenza virus 1 strain HPIV1/USA/629-D02161/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			JQ901975	Human parainfluenza virus 1 strain HPIV1/WI/629-001/1997
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			JQ901985	Human parainfluenza virus 1 strain HPIV1/WI/629-001/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			JQ901972	Human parainfluenza virus 1 strain HPIV1/WI/629-002/1997
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			JQ901976	Human parainfluenza virus 1 strain HPIV1/WI/629-003/1997
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			JQ901981	Human parainfluenza virus 1 strain HPIV1/WI/629-010/1999
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			JQ901984	Human parainfluenza virus 1 strain HPIV1/WI/629-030/2007
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			JQ901982	Human parainfluenza virus 1 strain HPIV1/WI/629-A31/2005
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			JQ901987	Human parainfluenza virus 1 strain HPIV1/WI/629-D00057/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			JQ901998	Human parainfluenza virus 1 strain HPIV1/WI/629-D00387/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			JQ901989	Human parainfluenza virus 1 strain HPIV1/WI/629-D00712/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			JQ902003	Human parainfluenza virus 1 strain HPIV1/WI/629-D01145/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			JQ901991	Human parainfluenza virus 1 strain HPIV1/WI/629-D01150/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			JQ901996	Human parainfluenza virus 1 strain HPIV1/WI/629-D01164/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			JQ901992	Human parainfluenza virus 1 strain HPIV1/WI/629-D01202/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			JQ902010	Human parainfluenza virus 1 strain HPIV1/WI/629-D02071/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			JQ902002	Human parainfluenza virus 1 strain HPIV1/WI/629-D02072/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			JQ901993	Human parainfluenza virus 1 strain HPIV1/WI/629-D02130/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			JQ901999	Human parainfluenza virus 1 strain HPIV1/WI/629-D02143/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			JQ901990	Human parainfluenza virus 1 strain HPIV1/WI/629-D02161/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			JQ902005	Human parainfluenza virus 1 strain HPIV1/WI/629-D02209/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			JQ902009	Human parainfluenza virus 1 strain HPIV1/WI/629-D02211/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			JQ901994	Human parainfluenza virus 1 strain HPIV1/WI/629-D02401/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			KF530204	Human parainfluenza virus 1 strain HPIV1/ZAF/2530/2008
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			KF530214	Human parainfluenza virus 1 strain HPIV1/ZAF/2614/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			KF530195	Human parainfluenza virus 1 strain HPIV1/ZAF/2754/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 1			KF687311	Human parainfluenza virus 1 strain HPIV1/ZAF/879/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 2			NC_003443	Human parainfluenza virus 2
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 2			AB176531	Human parainfluenza virus 2
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 2			KM190939	Human parainfluenza virus 2 isolate VIROAF10
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 2			AF533012	Human parainfluenza virus 2 strain GREER
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 2			AF533010	Human parainfluenza virus 2 strain V94
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 2			AF533011	Human parainfluenza virus 2 strain V98
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 2			X57559	Parainfluenza type 2 virus
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster A		NC_001796	Human parainfluenza virus 3
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster A		AB012132	Human parainfluenza virus 3
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KM190938	Human parainfluenza virus 3 isolate VIROAF11
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF687343	Human parainfluenza virus 3 strain HPIV3/ARG/13009/2006
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF687342	Human parainfluenza virus 3 strain HPIV3/ARG/14555/2007
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF530257	Human parainfluenza virus 3 strain HPIV3/ARG/15318/2007
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF530244	Human parainfluenza virus 3 strain HPIV3/ARG/2262/2008
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF530254	Human parainfluenza virus 3 strain HPIV3/CHE/1104190065/2011
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF687358	Human parainfluenza virus 3 strain HPIV3/CHE/1105230137/2011
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF687349	Human parainfluenza virus 3 strain HPIV3/FRA/26232106/2006
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF530233	Human parainfluenza virus 3 strain HPIV3/FRA/29111069/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF687352	Human parainfluenza virus 3 strain HPIV3/FRA/29122056/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF530236	Human parainfluenza virus 3 strain HPIV3/FRA/30264021/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF687356	Human parainfluenza virus 3 strain HPIV3/FRA/31065118/2011
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672559	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/CFI1004/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672613	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/CFI1036/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672569	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/CFI1376/2011
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672591	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/CFI1377/2011
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672562	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLA6503/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672528	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLA6504/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672594	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLA6722/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672600	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLA7405/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672538	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLA7452/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672540	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLA7653/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672545	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLA7749/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672552	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLA7771/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672543	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLI4734/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672548	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLI5761/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672565	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLU7204/2007
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672527	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLU7965/2007
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672576	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLU8361/2007
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672607	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLU8364/2007
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672539	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLU8586/2007
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672610	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLU8594/2007
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672606	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLU8652/2007
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672612	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLU8666/2007
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672604	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLU8889/2007
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672575	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FPP00525/2011
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672581	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FPP00543/2011
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672535	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FPP00580/2011
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672557	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FPP00625/2011
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672533	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FPP00794/2011
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672583	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FPP01224/2012
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672585	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FPP01265/2012
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KJ672595	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FPP01362/2012
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF687320	Human parainfluenza virus 3 strain HPIV3/MEX/1099/2004
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF687322	Human parainfluenza virus 3 strain HPIV3/MEX/1512/2005
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF687328	Human parainfluenza virus 3 strain HPIV3/MEX/3640/2007
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF687329	Human parainfluenza virus 3 strain HPIV3/MEX/4159/2008
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF687330	Human parainfluenza virus 3 strain HPIV3/MEX/4169/2008
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF687331	Human parainfluenza virus 3 strain HPIV3/MEX/4601/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF687332	Human parainfluenza virus 3 strain HPIV3/MEX/4638/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF530232	Human parainfluenza virus 3 strain HPIV3/USA/10991B/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF687357	Human parainfluenza virus 3 strain HPIV3/USA/35084A/2011
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF687347	Human parainfluenza virus 3 strain HPIV3/USA/629-1/2006
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF687317	Human parainfluenza virus 3 strain HPIV3/USA/629-10/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF530229	Human parainfluenza virus 3 strain HPIV3/USA/629-10/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF687318	Human parainfluenza virus 3 strain HPIV3/USA/629-D01959/2007
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF530240	Human parainfluenza virus 3 strain HPIV3/USA/629-D02180/2007
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF687348	Human parainfluenza virus 3 strain HPIV3/USA/8745D/2011
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF687333	Human parainfluenza virus 3 strain HPIV3/ZAF/1181009/2007
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF687335	Human parainfluenza virus 3 strain HPIV3/ZAF/1183071/2007
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF687334	Human parainfluenza virus 3 strain HPIV3/ZAF/1200334/2007
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF687344	Human parainfluenza virus 3 strain HPIV3/ZAF/2516/2008
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KF687339	Human parainfluenza virus 3 strain HPIV3/ZAF/3238/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		FJ455842	Human parainfluenza virus 3 strain LZ22
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KX574705	Human parainfluenza virus 3 strain SCH-1
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KX574709	Human parainfluenza virus 3 strain SCH-10
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KX574710	Human parainfluenza virus 3 strain SCH-11
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KX574708	Human parainfluenza virus 3 strain SCH-2
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KX574704	Human parainfluenza virus 3 strain SCH-4
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KX574706	Human parainfluenza virus 3 strain SCH-7
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		KX574707	Human parainfluenza virus 3 strain SCH-8
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster B		EU326526	Human parainfluenza virus 3 strain ZHYMgz01
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		AB736166	Human parainfluenza virus 3 ZMLS/2011
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KF530245	Human parainfluenza virus 3 strain HPIV3/ARG/10068/2004
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KF687341	Human parainfluenza virus 3 strain HPIV3/ARG/12894/2006
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KF530237	Human parainfluenza virus 3 strain HPIV3/AUS/2/2007
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KF530235	Human parainfluenza virus 3 strain HPIV3/AUS/8/2007
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KF687353	Human parainfluenza virus 3 strain HPIV3/FRA/30254042/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KF687354	Human parainfluenza virus 3 strain HPIV3/FRA/30261045/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KJ672578	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/CFI0033/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KJ672542	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/CFI0090/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KJ672590	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/CFI0241/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KJ672608	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/CFI0242/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KJ672577	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/CFI0405/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KJ672617	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLE3936/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KJ672605	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLE4204/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KJ672564	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLE6163/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KJ672567	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLE8169/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KJ672580	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLI1399/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KJ672598	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLI1585/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KJ672589	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLI2129/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KJ672568	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLI3275/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KJ672579	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLI4230/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KJ672596	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FLU7236/2007
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KJ672574	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FPP00066/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KJ672582	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FPP00352/2011
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KJ672587	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FPP00367/2011
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KJ672549	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FPP00584/2011
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KJ672537	Human parainfluenza virus 3 strain HPIV3/Homo sapiens/PER/FPP00635/2011
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KF687319	Human parainfluenza virus 3 strain HPIV3/MEX/1077/2004
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KF687321	Human parainfluenza virus 3 strain HPIV3/MEX/1110/2004
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KF687323	Human parainfluenza virus 3 strain HPIV3/MEX/1527/2005
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KF687325	Human parainfluenza virus 3 strain HPIV3/MEX/2831/2006
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KF530231	Human parainfluenza virus 3 strain HPIV3/USA/629-D00155/2007
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KF530241	Human parainfluenza virus 3 strain HPIV3/USA/629-D1/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KF687337	Human parainfluenza virus 3 strain HPIV3/ZAF/3066/2008
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KF687338	Human parainfluenza virus 3 strain HPIV3/ZAF/3227/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KF530228	Human parainfluenza virus 3 strain HPIV3/ZAF/3314/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KF687340	Human parainfluenza virus 3 strain HPIV3/ZAF/3372/2010
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KF687345	Human parainfluenza virus 3 strain HPIV3/ZAF/6281/2009
ssRNA negative-strand viruses		Mononegavirales	Paramyxoviridae	Respirovirus	Human parainfluenza virus 3	cluster C		KF687346	Human parainfluenza virus 3 strain HPIV3/ZAF/6538/2009
